,Unnamed: 0,mission number,trajectory number,wind only correct final x,wind only delta y,wind only delta y norm,wind only delta x,wind only total distance,wind only delta t,wind only delta t norm,wind and waves correct final x,wind and waves delta y,wind and waves delta y norm,wind and waves delta x,wind and waves total distance,wind and waves delta t,wind and waves delta t norm,wind and waves and surf correct final x,wind and waves and surf delta y,wind and waves and surf delta y norm,wind and waves and surf delta x,wind and waves and surf total distance,wind and waves and surf delta t,wind and waves and surf delta t norm,Mean Wave Dir FRF [deg] (8marray),Mean Wind Dir FRF [deg]
412,412,67,8,True,293.06500096221714,0.9754086306230644,0.0037258541833864,293.0650009859013,2743.5025436666665,4.314265785958439,True,107.61957950060388,0.3581903889043629,0.0024226596042353,107.61957952787252,1033.335877,1.6249613581864102,True,276.6652153801341,0.92082520256236,0.0010492300056625,276.6652153821237,-553.914123,0.8710517709322836,13.804528045654294,15.928142547607422
413,413,67,9,True,217.3638353193614,0.7234523408108008,0.0023984748810335,217.36383533259425,2387.8360076666663,3.5715002752819176,True,51.507468614646704,0.1714323759688732,0.0070224409489867,51.50746909336055,861.1693409999999,1.2880560174864404,True,297.6867788129747,0.9907912999614364,0.0561280415920748,297.6867841043703,-590.4973256666667,0.8832103018802203,13.804528045654294,15.928142547607422
414,414,67,10,True,337.3611668342372,1.122839618128289,0.0003622849754378,337.36116683443174,3132.002806333333,4.464210002700563,True,124.22785585484986,0.4134677370780298,0.0023819774034166,124.2278558776862,1162.3361396666664,1.656739454609558,True,307.8439414165474,1.02459739769961,0.2790115411878275,307.8440678563009,-608.7471936666667,0.867679717779092,13.804528045654294,15.928142547607422
415,415,67,11,True,6.425597482910177,0.0213863246077223,0.0034503021316254,6.425598409250799,578.6680663333332,1.653737692826455,True,49.25220605624327,0.1639261826105221,0.0023960492588344,49.25220611452545,57.418066333333286,0.164091343671876,True,149.72287587550426,0.4983228459596945,0.0237136463985052,149.72287775343045,-333.0819336666667,0.9518931155029215,13.804528045654294,15.928142547607422
416,416,67,12,True,119.96173091247492,0.3992687877853938,0.0022402843521547,119.96173093339358,1913.502663,2.8742175246583073,True,17.498626109102872,0.0582407004412837,0.0046896998248939,17.498626737531755,652.4193296666665,0.979980382056964,True,315.7574254786528,1.0509358571783345,0.025345262404528,315.7574264958614,-600.1640036666666,0.9014891540852932,13.804528045654294,15.928142547607422
417,417,67,13,True,41.08271727725568,0.1367356622937337,0.0040837984798827,41.082717480229235,1040.0858509999998,1.6524665876235327,True,125.85304974152396,0.418876872042263,0.0050633239382875,125.85304984337786,270.58585099999993,0.4299011254035217,True,323.39599961066347,1.0763593335728352,0.004427409483668,323.3959996409699,-580.9974823333334,0.9230766153833848,13.804528045654294,15.928142547607422
418,418,67,14,True,72.06156834421265,0.2398426133055743,0.0004146487008256,72.0615683454056,1581.0023096666664,2.738072392035563,True,40.51762215688669,0.1348548554566117,0.0044401570180809,40.51762240017582,552.6689763333333,0.9571445005364376,True,291.9222207741004,0.971605113810295,0.0736166807699305,291.92223005639414,-515.4976903333334,0.8927690904875325,13.804528045654294,15.928142547607422
419,419,67,15,True,66.98684006600335,0.2229523884599592,0.0020952121807056,66.98684009877034,1854.752811,2.639288836771142,True,69.03217434697618,0.2297598772546629,0.0046466490940133,69.0321745033623,607.4194776666665,0.8643499215287027,True,365.063956322858,1.2150428490525382,0.0510587266072661,365.0639598934564,-637.4138556666667,0.907031526620118,13.804528045654294,15.928142547607422
420,420,67,16,True,124.40874436324168,0.4140697885399464,0.0017976835959245,124.40874437622976,1799.836033,2.6667636484103165,True,17.483533187618093,0.058190466650728,0.0073491740452027,17.483534732224555,479.58603299999993,0.7105883956317648,True,292.7109236347861,0.9742301545854952,0.1538324413258749,292.71096405763416,-624.4973003333334,0.9252991208779258,13.804528045654294,15.928142547607422
421,421,67,17,True,119.86468814895372,0.3989458002271139,0.000573459132596,119.8646881503255,1880.0024726666663,3.0412671761228967,True,12.683922949066355,0.0422159175406698,0.0009043588224528,12.683922981306576,665.0858059999999,1.075904771669774,True,302.0506596683307,1.0053156103886436,0.1474663009218773,302.0506956661144,-553.1641940000001,0.8948499433792828,13.804528045654294,15.928142547607422
422,422,67,18,True,200.76210339967565,0.6681967744873435,0.000149314030267,200.76210339973116,2327.335863333333,3.679597111010314,True,40.70491653220642,0.1354782275739038,0.0022501229438773,40.70491659439858,855.00253,1.3517880632787354,True,297.85701811723004,0.9913579076631296,0.0002428815543566,297.85701811732906,-554.9141366666666,0.877338112778011,13.804528045654294,15.928142547607422
423,423,67,19,True,349.34575666414764,1.1627279443227878,0.0023364645269339,349.34575667196094,3075.2527573333327,4.461216235580609,True,140.41809916347864,0.4673537453126323,0.00719729517985,140.41809934793156,1144.919424,1.6609148989787446,True,284.1551789684887,0.9457540582876994,0.0498104970508848,284.1551833342117,-597.0805760000001,0.8661745130539517,13.804528045654294,15.928142547607422
424,424,67,20,True,351.60872351223134,1.1702597798786796,0.0007058294192177,351.6087235129398,3203.086373333333,4.2146041917501,True,130.48181145537154,0.4342827857814017,0.006702724047102,130.48181162752775,1158.586373333333,1.5244618522333735,True,313.87493863809567,1.0446703737351222,0.2695245806964692,313.8750543585264,-659.5802933333334,0.8678722785066579,13.804528045654294,15.928142547607422
425,425,67,21,True,233.77234500698924,0.7780648053235381,0.0023491863240963,233.7723450187928,2523.502688333333,3.754761734484011,True,59.53226119064256,0.1981413037217146,0.0066842563505815,59.53226156589525,918.3360216666664,1.3664074817489595,True,304.95042806327734,1.0149669133758727,0.106348131884971,304.95044660715166,-592.9139783333334,0.8822065964023311,13.804528045654294,15.928142547607422
426,426,36,0,False,3871.346538502179,35.20452013208748,4097.316807964883,5636.960976093797,35831.250676,212.0200828495622,False,3841.346940167206,34.93171544952173,3664.803453453603,5309.117691968922,35831.250676,212.0200828495622,True,4.283965190898584,0.0389567137191757,0.1984915997187784,4.288561142386764,-122.08265733333332,0.7223854773131124,-1.5884201049804716,313.8440246582031
427,427,36,1,False,3802.820250425358,34.58136871327623,4162.721531673807,5638.23486627738,35215.336473,44.86524344611022,False,3792.372275635646,34.48635889300675,3764.6328621511134,5343.645578048564,35215.336473,44.86524344611022,False,3792.372275635646,34.48635889300675,3764.6328621511134,5343.645578048564,35215.336473,44.86524344611022,-1.5884201049804716,313.8440246582031
428,428,36,2,False,3850.0426859544264,35.01079118055876,4107.819372483983,5630.00965191232,35694.501223,116.7445429323827,False,3823.902588953477,34.77308330244132,3679.732227267823,5306.85031578982,35694.501223,116.7445429323827,True,16.453154349545457,0.1496185882029092,0.1721372641295886,16.454054797759383,-248.91544366666665,0.8141175448321308,-1.5884201049804716,313.8440246582031
429,429,36,3,False,3805.2605374156688,34.6035597343135,4160.137879398325,5637.974364363302,35066.753734,37.564964115239434,False,3794.795655442148,34.508396166688456,3760.9185768276543,5342.750472190326,35066.753734,37.564964115239434,False,3794.795655442148,34.508396166688456,3760.9185768276543,5342.750472190326,35066.753734,37.564964115239434,-1.5884201049804716,313.8440246582031
430,430,36,4,False,3858.6338311423174,35.088915714417155,4094.7769545753586,5626.3890152172635,35824.167371,203.45088879267024,False,3827.790518125746,34.80843861859709,3661.3039609574257,5296.897860557243,35824.167371,203.45088879267024,True,8.388993155244918,0.0762862418759409,0.1647801796512737,8.390611340441888,-130.1659623333333,0.7392322744870724,-1.5884201049804716,313.8440246582031
