,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
1175,1175,76,4,48.6904953,19.666588,3.155366501,0.723940535,2.383658381,0.633930638,0.12979822,2.1118326,8.25059,5.560808548,2.4757978,2.480099956,2.515061206,4.975532531,0.676754297
3323,3323,14,15,48.53781384,37.333184,3.056276837,0.97206144,5.773395684,1.109089817,0.156091935,1.0841297,6.466417,5.472797548,1.300125214,1.297688035,1.340228058,3.377255312,0.703307829
229,229,68,16,48.40830613,23.833238,1.896837334,0.644236842,2.625578295,0.807485548,0.163885709,1.4799527,9.077329,4.311496941,2.031125864,2.002842417,1.660820986,5.167639443,0.622341916
395,395,79,11,48.38658643,24.9999,2.227314885,0.71098647,2.999522714,0.445267716,0.129385016,2.150559,8.334626,4.672010902,1.935471199,1.939466007,1.604671063,6.508784161,0.656913379
3511,3511,24,6,48.208569,13.999944,4.126509821,0.879057561,2.011028091,0.940790022,0.115793557,2.163684,6.9615855,6.359229218,3.443482988,3.415529446,4.093373038,5.886789081,0.507688469
1617,1617,77,4,48.16425528,10.83329,2.037305589,0.716116287,1.313032159,0.482479369,0.12979822,2.1118326,8.25059,4.468287678,4.44594904,4.441435068,4.524159954,7.677671675,0.602169114
565,565,69,11,48.03042184,17.333264,1.102158099,0.612486103,1.838980423,0.659489206,0.162591463,1.5692074,9.425475,3.286510211,2.770996959,2.738653849,2.949545931,5.056961489,0.583647397
233,233,68,18,48.0165716,8.833298,1.699416694,0.639023484,0.973116431,0.696061601,0.163885709,1.4799527,9.077329,4.080966013,5.435860038,5.335494122,5.757117373,8.982151027,0.383855253
972,972,23,19,48.00097702,31.833206,1.820326867,0.79648377,4.235864244,0.457548745,0.114922357,2.4139028,7.515162,4.223648103,1.507890127,1.505748994,1.620710845,3.863080604,0.742900006
1349,1349,66,14,47.9123908,7.333304,1.46178055,0.646619888,0.817195952,0.649707327,0.161581125,1.5013198,8.97374,3.784897541,6.533533971,6.280550305,6.037574157,10.17273885,0.503396649
3149,3149,20,30,47.75130793,14.333276,3.123239739,0.791463414,1.905430543,0.562929685,0.109169979,2.6779573,7.5223293,5.532427084,3.331499926,3.286192904,3.123601655,5.871399214,0.48864237
